income,debt_ratio,credit_history_years,num_accounts,default
57450.71,0.2172,8,6,0
47926.04,0.1732,4,8,0
59715.33,0.5455,1,4,1
72845.45,0.5945,7,1,0
46487.7,0.1221,5,7,0
46487.95,0.7553,5,3,0
73688.19,0.1364,1,6,0
61511.52,0.4789,6,2,0
42957.88,0.5963,9,9,0
58138.4,0.7097,9,1,0
43048.73,0.5999,8,6,0
43014.05,0.6612,5,6,0
53629.43,0.3376,1,5,0
21300.8,0.6704,9,5,1
24126.23,0.1561,1,1,0
41565.69,0.7264,8,5,0
34807.53,0.4833,5,2,0
54713.71,0.6721,3,7,0
36379.64,0.4166,7,3,0
28815.44,0.5505,7,4,0
71984.73,0.4685,9,3,0
46613.36,0.6121,7,3,0
51012.92,0.1571,3,4,0
28628.78,0.1422,1,5,0
41834.26,0.273,8,1,1
51663.84,0.2117,3,4,0
32735.1,0.7102,8,8,0
55635.47,0.2534,8,7,0
40990.42,0.7831,5,9,0
45624.59,0.3358,1,5,0
40974.4,0.2275,7,4,1
77784.17,0.6528,5,8,0
49797.54,0.5611,8,9,0
34134.34,0.4487,9,7,0
62338.17,0.4888,7,7,0
31687.35,0.6034,7,5,0
53132.95,0.2599,1,4,0
20604.95,0.7974,4,1,1
30077.21,0.7824,2,7,0
52952.92,0.5552,2,1,0
61077.0,0.2397,2,1,0
52570.52,0.5762,4,5,0
48265.28,0.1505,1,9,0
45483.44,0.1215,4,6,0
27822.17,0.2804,2,3,0
39202.34,0.4238,5,3,0
43090.42,0.7078,3,7,1
65856.83,0.609,8,6,0
55154.27,0.6199,4,9,0
23554.4,0.3978,1,6,0
54861.26,0.3422,1,5,1
44223.77,0.3597,3,7,0
39846.17,0.7914,9,1,0
59175.14,0.1281,7,7,0
65464.99,0.7069,2,3,0
63969.2,0.5051,9,9,0
37411.74,0.407,2,6,0
45361.81,0.6077,3,9,0
54968.95,0.4407,2,5,0
64633.18,0.7114,3,7,0
42812.39,0.7305,6,4,0
47215.12,0.3952,9,7,0
33404.98,0.2938,9,1,0
32056.9,0.5146,7,7,0
62187.89,0.7387,3,8,1
70343.6,0.2475,4,5,0
48919.85,0.5361,6,2,0
65052.99,0.5421,5,5,0
55424.54,0.6132,2,6,0
40323.2,0.1921,6,2,0
55420.93,0.6011,3,6,0
73070.55,0.7363,8,6,0
49462.61,0.2258,2,1,0
73469.65,0.2663,1,1,0
10703.82,0.78,9,3,0
62328.54,0.2267,3,3,0
51305.71,0.6981,1,4,0
45514.89,0.4446,7,2,0
51376.41,0.2731,5,9,0
20186.47,0.7095,5,7,1
46704.92,0.4117,1,7,0
55356.69,0.4604,9,6,0
72168.41,0.3515,7,3,0
42225.95,0.5151,8,6,0
37872.6,0.2145,9,8,0
42473.64,0.3738,6,8,0
63731.03,0.7786,5,9,0
54931.27,0.2807,6,1,0
42053.6,0.5597,2,1,0
57699.01,0.3276,4,3,0
51456.16,0.6414,3,3,0
64529.67,0.1916,7,8,0
39469.2,0.7789,9,1,0
45085.07,0.4177,5,2,0
44118.38,0.2652,6,2,0
