customer_id,monthly_transactions,avg_transaction_value,account_age_months,num_products
1,8.25,695.85,52,3
2,8.32,745.69,9,2
3,7.88,692.98,17,4
4,8.79,723.02,50,5
5,7.77,716.28,7,1
6,7.77,686.03,32,5
7,8.12,642.6,36,2
8,7.14,683.13,56,5
9,7.49,709.43,56,1
10,7.55,657.63,41,2
11,8.73,693.23,41,5
12,8.03,657.26,31,4
13,7.73,703.33,48,2
14,7.42,711.27,32,2
15,7.7,691.25,10,4
16,7.7,755.57,25,3
17,7.99,668.27,16,1
18,8.41,663.37,15,3
19,8.1,641.21,45,5
20,7.34,705.91,43,4
21,8.37,705.14,11,3
22,7.94,690.97,13,2
23,7.26,678.4,28,5
24,7.77,731.71,52,5
25,8.17,647.11,31,3
26,8.16,688.45,51,3
27,7.66,718.35,48,4
28,8.52,727.94,17,1
29,7.58,690.72,31,3
30,8.17,729.27,18,3
31,7.76,694.43,45,2
32,7.45,664.11,23,5
33,8.41,740.69,30,1
34,7.96,730.11,38,2
35,8.18,680.65,52,4
36,8.18,746.14,45,4
37,7.98,746.94,48,3
38,6.69,724.66,17,3
39,8.04,691.03,49,4
40,8.05,640.37,41,3
41,7.89,710.71,53,1
42,8.74,684.45,9,3
43,7.6,684.95,10,5
44,8.46,709.86,42,3
45,7.74,715.4,13,2
46,8.05,729.06,47,1
47,7.65,690.17,54,2
48,7.8,656.09,33,2
49,8.15,707.83,36,5
50,8.0,692.96,14,1
51,7.29,687.38,59,1
52,7.83,675.93,56,1
53,7.92,712.12,34,1
54,8.94,705.24,19,1
55,8.13,697.77,45,5
56,7.04,699.2,46,3
57,8.03,773.9,27,2
58,7.9,709.05,16,1
59,7.98,664.94,28,3
60,8.57,722.56,6,3
61,8.4,672.72,51,2
62,8.7,657.94,42,5
63,8.29,765.71,26,4
64,7.5,683.01,31,4
65,8.05,684.9,51,3
66,7.22,702.06,41,2
67,7.47,714.21,59,4
68,7.54,746.5,28,3
69,7.61,690.34,6,5
70,8.41,663.07,59,4
71,8.11,739.21,56,3
72,7.2,705.54,45,3
73,8.13,723.45,20,1
74,7.38,660.39,26,5
75,8.26,708.91,52,1
76,8.13,710.39,14,2
77,7.66,706.97,58,1
78,8.15,678.57,14,1
79,8.93,714.21,15,4
80,7.4,719.7,57,3
81,7.51,723.61,58,5
82,8.58,675.38,31,1
83,8.48,712.38,46,5
84,8.41,756.9,40,1
85,7.88,677.39,57,2
86,7.56,675.53,30,1
87,7.96,710.23,31,4
88,8.14,724.82,16,3
89,8.01,743.61,43,2
90,7.87,781.61,7,1
91,8.31,674.29,12,5
92,7.46,714.47,23,2
93,7.89,721.42,32,2
94,8.24,697.82,39,1
95,7.58,654.55,32,2
96,7.78,725.69,22,5
97,8.11,662.63,48,2
98,8.09,711.56,49,5
99,7.56,704.61,56,1
100,8.03,665.71,59,3
101,2.21,322.43,29,2
102,2.65,342.15,30,3
103,1.17,262.49,12,5
104,2.31,320.55,57,2
105,2.31,454.11,11,4
106,2.34,345.42,58,3
107,2.57,326.06,29,2
108,1.81,330.36,38,3
109,1.54,290.53,54,2
110,1.71,303.27,34,1
111,3.39,225.31,48,3
112,2.41,235.49,27,4
113,1.72,343.56,31,4
114,2.04,256.89,33,5
115,1.57,327.18,55,2
116,1.56,308.66,26,3
117,2.03,273.94,54,5
118,3.29,325.36,12,3
119,0.78,307.46,22,2
120,1.6,334.1,25,4
121,1.52,295.41,46,1
122,2.3,334.63,54,4
123,1.28,286.62,25,5
124,1.72,273.87,59,1
125,3.06,316.2,27,5
126,1.24,336.71,33,2
127,3.27,341.3,45,1
128,1.09,280.63,54,5
129,2.76,271.69,12,2
130,2.27,330.99,6,4
131,1.44,297.62,37,2
132,0.06,259.02,18,3
133,1.85,250.09,35,2
134,2.98,242.79,28,2
135,1.74,305.23,56,3
136,2.86,242.57,24,5
137,2.7,300.41,37,5
