size_sqm,bedrooms,age_years,distance_km,price
167.73,3,23.45,8.12,432156.78
89.21,2,5.67,15.34,189234.56
203.45,4,35.12,3.21,498765.43
124.56,3,12.89,10.56,312456.78
78.34,1,45.23,18.67,145678.90
145.67,3,8.45,6.78,378234.56
112.89,2,28.34,12.45,267890.12
189.34,4,15.67,4.56,456789.01
95.67,2,38.90,14.23,201234.56
156.78,3,22.34,7.89,398765.43
134.23,3,31.56,9.12,345678.90
98.45,2,41.23,16.78,178901.23
178.90,4,6.78,5.34,467890.12
88.12,1,33.45,17.56,167234.56
201.34,5,19.12,2.34,512345.67
167.89,3,27.89,8.90,398456.78
145.23,3,14.56,11.23,356789.01
112.45,2,36.78,13.67,245678.90
189.67,4,9.23,4.12,478901.23
76.34,1,44.56,19.45,134567.89
158.90,3,25.67,6.45,401234.56
123.45,2,18.90,10.78,298765.43
198.23,4,32.12,3.56,489012.34
108.67,2,40.34,14.89,234567.89
175.34,4,11.45,5.67,445678.90
92.12,2,29.67,15.12,201234.56
163.45,3,21.23,7.12,398901.23
137.89,3,37.90,9.45,323456.78
185.23,4,7.34,4.89,467234.56
82.56,1,43.12,18.23,156789.01
149.67,3,16.78,11.67,367890.12
119.34,2,34.56,12.34,278901.23
194.78,4,23.89,3.89,479012.34
103.12,2,39.12,13.90,223456.78
171.45,4,12.67,6.12,434567.89
87.23,2,30.45,16.56,189012.34
161.89,3,26.12,7.67,392345.67
141.34,3,15.34,10.12,351234.56
182.67,4,8.90,5.12,461234.56
79.45,1,42.78,17.89,148901.23
154.23,3,24.45,8.34,384567.89
127.56,3,33.23,9.78,312890.12
196.89,4,20.67,4.23,485678.90
99.78,2,38.45,14.56,214567.89
168.34,3,13.90,6.89,421234.56
