transaction_id,amount,hour,is_foreign,previous_fraud,account_age_days,transaction_freq,device_changed,location_distance,is_fraud
1,523.45,14,0,0,892,12.3,0,15.2,0
2,89.99,10,0,0,456,8.7,0,5.1,0
3,2150.00,3,1,0,45,2.1,1,850.3,1
4,156.78,16,0,0,1205,15.6,0,8.4,0
5,3500.00,2,1,1,30,1.2,1,1200.5,1
6,45.00,12,0,0,678,10.2,0,2.3,0
7,890.50,23,1,0,120,3.4,0,450.2,1
8,234.56,9,0,0,890,11.8,0,12.1,0
9,1567.89,4,0,1,60,1.8,1,680.4,1
10,78.90,15,0,0,1456,14.2,0,3.2,0
11,4200.00,1,1,0,25,0.9,1,950.8,1
12,123.45,11,0,0,567,9.5,0,6.7,0
13,567.00,20,0,0,345,7.8,0,25.4,0
14,2890.00,3,1,1,15,0.5,1,1100.2,1
15,45.67,13,0,0,1890,16.7,0,1.8,0
16,189.99,17,0,0,789,12.1,0,9.3,0
17,3100.00,2,1,0,35,1.5,1,780.6,1
18,67.89,14,0,0,1234,13.9,0,4.5,0
19,1890.00,22,1,0,90,2.8,1,560.3,1
20,234.00,10,0,0,678,10.8,0,7.2,0
21,5600.00,4,1,1,20,0.7,1,1350.4,1
22,156.00,16,0,0,945,11.5,0,5.8,0
23,89.00,12,0,0,1567,15.3,0,2.9,0
24,2345.00,3,1,0,50,1.9,1,890.7,1
25,78.50,9,0,0,890,9.8,0,3.6,0
26,345.67,18,0,0,456,8.2,0,15.7,0
27,4500.00,1,1,1,10,0.3,1,1450.9,1
28,123.00,11,0,0,1345,14.6,0,6.1,0
29,567.89,15,0,0,678,10.5,0,8.9,0
30,1780.00,23,1,0,75,2.4,1,620.5,1
31,45.00,13,0,0,1890,16.2,0,1.5,0
32,234.56,10,0,0,567,9.1,0,4.8,0
33,3890.00,2,1,0,40,1.3,1,980.3,1
34,89.99,14,0,0,1234,13.5,0,3.2,0
35,678.00,19,0,0,345,7.5,0,22.1,0
36,2100.00,4,1,1,55,2.0,1,750.8,1
37,156.78,16,0,0,890,11.2,0,7.6,0
38,67.00,12,0,0,1567,15.8,0,2.1,0
39,4800.00,3,1,0,25,0.8,1,1180.6,1
40,234.00,9,0,0,678,10.1,0,5.4,0
41,123.45,11,0,0,1456,14.9,0,4.2,0
42,1950.00,22,1,0,85,2.6,1,540.2,1
43,78.90,15,0,0,945,12.4,0,3.8,0
44,345.00,17,0,0,567,8.9,0,12.3,0
45,5200.00,1,1,1,15,0.4,1,1280.5,1
46,89.00,13,0,0,1890,16.5,0,1.9,0
47,567.00,10,0,0,789,9.4,0,6.5,0
48,2560.00,4,1,0,45,1.6,1,820.4,1
49,45.67,14,0,0,1234,13.2,0,2.7,0
50,189.00,16,0,0,456,8.5,0,9.8,0
51,3450.00,2,1,0,30,1.1,1,920.7,1
52,123.00,12,0,0,1567,15.1,0,4.1,0
53,678.90,20,0,0,345,7.2,0,28.5,0
54,1650.00,23,1,1,65,2.2,1,590.6,1
55,67.89,9,0,0,890,10.7,0,3.4,0
56,234.56,11,0,0,1345,14.3,0,5.9,0
57,4100.00,3,1,0,35,1.4,1,1050.3,1
58,78.00,15,0,0,678,9.7,0,2.5,0
59,156.00,17,0,0,1890,16.9,0,7.1,0
60,2780.00,4,1,0,50,1.7,1,760.9,1
61,89.99,13,0,0,567,8.8,0,4.6,0
62,345.67,10,0,0,1234,12.8,0,11.2,0
63,5800.00,1,1,1,20,0.6,1,1380.2,1
64,45.00,14,0,0,945,11.9,0,1.6,0
65,567.89,16,0,0,789,10.3,0,8.2,0
66,1420.00,22,1,0,95,2.9,1,480.5,1
67,123.45,12,0,0,1567,15.5,0,3.9,0
68,234.00,9,0,0,456,7.9,0,6.8,0
69,3780.00,2,1,0,40,1.2,1,870.6,1
70,67.00,11,0,0,1890,17.1,0,2.3,0
71,189.99,15,0,0,678,9.2,0,5.2,0
72,2230.00,3,1,1,60,2.1,1,710.4,1
73,78.90,17,0,0,1345,14.7,0,4.4,0
74,456.00,19,0,0,345,7.6,0,18.9,0
75,4650.00,4,1,0,25,0.9,1,1120.8,1
76,89.00,13,0,0,890,11.4,0,3.1,0
77,345.00,10,0,0,1234,13.1,0,7.5,0
78,1280.00,23,1,0,80,2.5,1,520.3,1
79,123.00,14,0,0,567,8.6,0,2.8,0
80,234.56,16,0,0,1567,16.3,0,5.6,0
81,5100.00,1,1,1,10,0.2,1,1420.6,1
82,45.67,12,0,0,945,12.2,0,1.4,0
83,678.00,9,0,0,789,9.9,0,9.1,0
84,1890.00,22,1,0,70,2.3,1,610.7,1
85,67.89,15,0,0,1890,17.4,0,3.5,0
86,156.78,11,0,0,456,8.1,0,6.2,0
87,3250.00,3,1,0,45,1.5,1,830.5,1
88,78.00,17,0,0,1345,14.1,0,2.6,0
89,189.00,13,0,0,678,10.6,0,4.9,0
90,2450.00,4,1,1,55,1.8,1,680.2,1
91,89.99,10,0,0,1234,12.6,0,3.3,0
92,345.67,16,0,0,567,9.3,0,10.8,0
93,4890.00,2,1,0,30,1.0,1,990.4,1
94,45.00,14,0,0,1567,15.9,0,1.7,0
95,567.00,9,0,0,890,11.1,0,5.3,0
96,1560.00,23,1,0,90,2.7,1,550.8,1
97,123.45,12,0,0,945,12.9,0,4.0,0
98,234.00,15,0,0,789,10.0,0,7.8,0
99,3650.00,3,1,0,35,1.3,1,910.6,1
100,67.00,11,0,0,1890,17.2,0,2.4,0
101,789.50,14,0,0,1123,13.8,0,8.6,0
102,2980.00,2,1,1,25,0.7,1,1150.3,1
103,45.67,16,0,0,567,8.4,0,1.2,0
104,156.00,10,0,0,1456,14.4,0,6.4,0
105,4350.00,4,1,0,40,1.4,1,1020.7,1
106,78.90,13,0,0,678,9.6,0,3.7,0
107,234.56,9,0,0,1234,12.3,0,5.1,0
108,1750.00,22,1,0,75,2.4,1,630.4,1
109,89.00,15,0,0,890,10.9,0,2.9,0
110,345.00,17,0,0,345,7.4,0,14.6,0
111,5450.00,1,1,1,15,0.5,1,1320.8,1
112,123.00,12,0,0,1567,16.1,0,4.3,0
113,567.89,11,0,0,945,11.7,0,7.3,0
114,2120.00,3,1,0,50,1.6,1,790.5,1
115,45.00,14,0,0,789,9.1,0,1.8,0
116,189.99,16,0,0,1890,17.6,0,5.7,0
117,3980.00,2,1,0,30,1.1,1,960.2,1
118,67.89,10,0,0,456,8.0,0,2.2,0
119,678.00,9,0,0,1345,14.8,0,9.4,0
120,1480.00,23,1,1,85,2.8,1,500.6,1
121,78.00,13,0,0,567,8.7,0,3.0,0
122,234.00,15,0,0,1234,13.4,0,6.0,0
123,4720.00,4,1,0,35,1.2,1,1080.4,1
124,89.99,11,0,0,678,10.4,0,2.0,0
125,345.67,17,0,0,1567,15.7,0,8.0,0
126,2650.00,3,1,0,55,1.9,1,740.3,1
127,45.67,14,0,0,890,11.6,0,1.3,0
128,156.78,12,0,0,945,12.1,0,4.7,0
129,5680.00,1,1,1,20,0.4,1,1390.5,1
130,123.45,16,0,0,1890,17.0,0,5.5,0
